genre,count,main_genre
nz electronic,14,
boogie-woogie,13,
classic disco polo,13,
romanian house,13,
houston rap,13,
ukrainian pop,13,
traditional soul,13,
classic belgian pop,13,
italian romanticism,13,
turkish instrumental,13,
ebm,13,
irish folk,13,
swiss house,13,
psicodelia brasileira,13,
instrumental worship,13,
brazilian indie,13,
swedish indie rock,13,
north carolina roots,13,
russian modern classical,13,
bronx hip hop,13,
latin arena pop,13,
drill,13,
uk experimental electronic,13,
j-ambient,13,
pop venezolano,13,
ohio hip hop,13,
dunedin indie,13,
cape verdean folk,13,
indiecoustica,13,
psychedelic doom,13,
danish pop,13,
japanese psychedelic rock,13,
sky room,13,
sacramento indie,13,
reggaeton flow,13,
rock independant francais,13,
african-american classical,12,
reggae cover,12,
french opera,12,
brazilian techno,12,
sertanejo pop,12,
arabesk,12,
son cubano,12,
anglican liturgy,12,
zilizopendwa,12,
japanese soundtrack,12,
indie dream pop,12,
collage pop,12,
electro swing,12,
neo-kraut,12,
experimental psych,12,
north carolina hip hop,12,
bristol indie,12,
classic psychedelic rock,12,
modern indie pop,12,
melodic dubstep,12,
turkish folk,12,
old school dancehall,12,
psalmen,12,
morna,12,
jazz quartet,12,
belgian electronic,12,
ghent indie,12,
latin classical,12,
tropical alternativo,12,
psychobilly,12,
zen,12,
german tech house,12,
psychedelic folk rock,12,
jewish a capella,12,
hands up,12,
background music,12,
latin house,12,
canadian metal,12,
saskatchewan indie,12,
experimental club,12,
old school hard trance,12,
melbourne bounce,12,
mandopop,12,
german hip hop,12,
japanese house,12,
oc indie,12,
eau claire indie,12,
commons,12,
house argentino,12,
g-house,12,
tech trance,12,
musica mexicana,12,
scandipop,12,
high-tech minimal,12,
brazilian hip hop,12,
mambo,11,
salsa puertorriquena,11,
chabad niggunim,11,
minimal wave,11,
norwegian jazz,11,
boogaloo,11,
bouncy house,11,
yodeling,11,
swedish synth,11,
musique touareg,11,
belgian indie rock,11,
british alternative rock,11,
australian garage punk,11,
swedish psychedelic rock,11,
norwegian space disco,11,
christelijk,11,
indie hip hop,11,
broadway,11,
jungle,11,
a cappella,11,
classic bollywood,11,
danish electronic,11,
neapolitan funk,11,
dixieland,11,
sydney indie,11,
anthem worship,11,
corrido,11,
experimental electronic,11,
neo-singer-songwriter,11,
classic eurovision,11,
shamanic,11,
deep progressive trance,11,
sertanejo universitario,11,
american primitive,11,
nordic ambient,11,
paisley underground,11,
brazilian gospel,11,
electrofox,11,
swedish techno,11,
corridos tumbados,11,
cuban alternative,11,
post-minimalism,11,
swamp blues,11,
nueva cancion,11,
metalcore,11,
experimental guitar,11,
bristol electronic,11,
turkish trap pop,11,
ukrainian classical,11,
australian r&b,10,
sad rap,10,
egyptian trap,10,
new orleans rap,10,
sludge metal,10,
cologne electronic,10,
chill lounge,10,
spacegrunge,10,
nigerian hip hop,10,
bleep techno,10,
buffalo hip hop,10,
glitch,10,
canadian indigenous,10,
italian lounge,10,
brazilian boogie,10,
french tech house,10,
indie rock italiano,10,
pop electronico,10,
steampunk,10,
musica de fondo,10,
italian pop rock,10,
dutch prog,10,
arrocha,10,
electro-industrial,10,
norwegian contemporary jazz,10,
dark progressive house,10,
rva indie,10,
canadian indie folk,10,
twoubadou,10,
bass trap,10,
amharic pop,10,
nashville americana,10,
healing,10,
synth punk,10,
vallenato,10,
african electronic,10,
sound art,10,
new isolationism,10,
amapiano,10,
ukrainian rock,10,
shibuya-kei,10,
veracruz indie,10,
post-doom metal,10,
indie game soundtrack,10,
raw techno,10,
dabke,10,
nuevo folklore mexicano,9,
galante era,9,
african gospel,9,
american post-rock,9,
traditional country,9,
italian hip hop,9,
spanish techno,9,
chillstep,9,
glitch pop,9,
german prog,9,
scottish hip hop,9,
piano worship,9,
old-time,9,
8-bit,9,
j-poprock,9,
vintage hollywood,9,
freestyle,9,
brazilian rock,9,
azonto,9,
latin viral pop,9,
melbourne bounce international,9,
salsa cubana,9,
touhou,9,
bluegrass,9,
mashup,9,
nu-cumbia,9,
japanese singer-songwriter,9,
hard trance,9,
belgian techno,9,
rap maroc,9,
popwave,9,
classic russian rock,9,
taiwan pop,9,
russian electronic,9,
novelty,9,
j-rock,9,
vaporwave,9,
serbian electronic,9,
birmingham hip hop,9,
sierreno,9,
sad sierreno,9,
choro,9,
future ambient,9,
exotica,9,
canadian modern jazz,9,
ambient industrial,9,
neoclassical darkwave,9,
focus,9,
jazz brass,9,
classic swedish pop,9,
upstate ny rap,9,
deep deep house,9,
partyschlager,9,
acoustic cover,9,
victorian britain,9,
minimal melodic techno,9,
trap soul,9,
jazz boom bap,9,
middle earth,9,
danish indie,9,
jazz drums,9,
german opera,9,
native american contemporary,9,
pop folk,9,
gospel soul,9,
turkish edm,9,
chill drill,9,
rap latina,9,
australian post-punk,9,
turkish jazz,9,
belgian new wave,9,
afro r&b,9,
channel islands indie,9,
dark clubbing,9,
melodic metalcore,8,
speedrun,8,
british contemporary classical,8,
glitch hop,8,
nordic post-rock,8,
afghan pop,8,
banjo,8,
bossbeat,8,
ukrainian experimental,8,
drill and bass,8,
psicodelia chilena,8,
oud,8,
ukrainian indie,8,
v-pop,8,
czsk hip hop,8,
italian progressive rock,8,
classical piano,8,
north east england indie,8,
zambian hip hop,8,
isle of wight indie,8,
fingerstyle,8,
experimental dub,8,
cowpunk,8,
drone ambient,8,
anime rock,8,
pixie,8,
egg punk,8,
bardcore,8,
black punk,8,
anime,8,
tamazight,8,
volksmusik,8,
cuban rumba,8,
brazilian soul,8,
liquid funk,8,
horror synth,8,
purple sound,8,
japanese progressive house,8,
italian indie pop,8,
folklore argentino,8,
umbanda,8,
washington indie,8,
deep tropical house,8,
chamber folk,8,
dubstep,8,
country pop,8,
mollywood,8,
australian indie folk,8,
kora,8,
kentucky hip hop,8,
deep underground hip hop,8,
hmong pop,8,
dub metal,8,
greek psychedelic rock,8,
greek house,8,
cosmic uplifting trance,8,
c-pop,8,
japanese techno,8,
west african jazz,8,
hindi indie,8,
classic russian pop,8,
rhode island indie,8,
pop ambient,8,
industrial hip hop,8,
cowboy western,8,
italian jazz,8,
levenslied,8,
carnaval,8,
sad lo-fi,8,
florida rap,8,
experimental indie,8,
mexican hip hop,8,
scottish folk,8,
gypsy jazz,8,
italian opera,8,
happy hardcore,8,
cello,7,
popgaze,7,
north carolina indie,7,
brain waves,7,
norwegian experimental,7,
deep adult standards,7,
kleine hoerspiel,7,
harlem hip hop,7,
sleaze rock,7,
pop romantico,7,
glee club,7,
anadolu rock,7,
swedish country,7,
drumfunk,7,
mexican techno,7,
classic afrobeat,7,
deep funk,7,
ok indie,7,
adoracao,7,
gospel blues,7,
turkish singer-songwriter,7,
montreal indie,7,
acid trance,7,
pre-war blues,7,
ghanaian pop,7,
russian edm,7,
doom metal,7,
canadian psychedelic,7,
indie psychedelic rock,7,
nashville singer-songwriter,7,
classic persian pop,7,
icelandic rock,7,
british indie rock,7,
turkish deep house,7,
future house,7,
environmental,7,
jamaican ska,7,
